,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
0,0.4148429169356653,0.3068217541653568,0.3655251282261986,0.7882999176050536,0.26475408318210436,0.3895709399235554,01-01-2021
1,0.4181797079582466,0.3093366865765482,0.36791503173983603,0.7939577039274924,0.2668836339394838,0.3909599753684194,01-02-2021
2,0.4229382621121887,0.31562401760452685,0.3758653984427964,0.7651194726723428,0.2699205584978335,0.3988923369141174,01-03-2021
3,0.42853101402177624,0.32254008173530335,0.383254240537968,0.7469925844548201,0.273489870745528,0.40704248678801214,01-04-2021
4,0.4374895725280545,0.342345174473436,0.3921633077908116,0.7399066190606977,0.27920725158327475,0.43875601304416,01-05-2021
5,0.4469631574747746,0.3596353348003772,0.40089433065581964,0.7385882999176051,0.2852533239509648,0.46363899681040943,01-06-2021
6,0.458344516419188,0.3728387299591323,0.40836534708383837,0.7625377643504532,0.29251694381689586,0.47675121344529237,01-07-2021
7,0.46907302494613984,0.3917007230430682,0.41407646321671426,0.7946717934633343,0.29936391244768723,0.5020856371113851,01-08-2021
8,0.4743828750081606,0.3957874882112543,0.41822626702549465,0.8008788794287284,0.3027526758268213,0.5035310742049492,01-09-2021
9,0.47684919880745996,0.39735932096824894,0.4275393580815033,0.7445756660258172,0.3043266916040147,0.5035242627170002,01-10-2021
10,0.48436423250179533,0.4055328513046212,0.4346131985674275,0.7433122768470201,0.3091228102662865,0.5103977960798523,01-11-2021
11,0.49212589857606076,0.4193649795661741,0.44484390300689586,0.7176050535567152,0.3140763305062776,0.5282316152096145,01-12-2021
12,0.5013093277816869,0.44325683747249284,0.4537461223986688,0.7115627574842076,0.31993722454723894,0.563887424425846,01-13-2021
13,0.5098544143569061,0.45708896573404584,0.4617786634344762,0.7094204888766823,0.32539072626939747,0.5797650718656933,01-14-2021
14,0.5170357689489833,0.4712354605469978,0.4635522594517602,0.7471024443834112,0.32997388985593135,0.5977803332986229,01-15-2021
15,0.5206264462450221,0.4781515246777743,0.46739390951236387,0.7422686075254051,0.3322654716491982,0.6063628280972273,01-16-2021
